"Indian Institute of Technology, Patna"
Indira Gandhi engineering college sagar
"INIDAN INSTITUTE OF ENGINEERING SCIENCE AND TECHNOLOGY,SHIBPUR"
Institute of Engineering and Management
Integral University
dr. mc saxena group of college
Lnct bhopal
"Madhav Institute of technology and science, Gwalior"
Maharaja Agrasen Institute of Technology
Maharaja vijayaram gajapathiraj college of engineering
Mahendra Engineering College
Mahindra Ecole Centrale
MEDICAPS UNIVERSITY
Dronacharya college of engineering
KRISHNA INSTITUTE OF ENGG & TECHNOLOGY GHAZIABAD
lakshmi narain college of technology
"MODERN INSTITUTE OF ENGINEERING & TECHNOLOGY, WEST BENGAL"
COLLEGE OF ENGINEERING TRIKARIPUR
Usha Mittal Institute of Technology
Sgsits
Deen dayal upadhyaya college
"Delhi Technological University, Delhi"
DIT UNIVERSITY
"Dr B R Ambedkar National Institute of Technology, Jalandhar"
Jaipur Engineering College and Research and centre
"Jaypee Institute of Information Technology, Noida"
NIT AGARTALA
NIT Rourkela
EXCEL ENGINEERING COLLEGE
Jnct
Jss Noida
KIIT UNIVERSITY
"Kalinga Institute of Industrial Technology, Bhubaneswar"
GALGOTIAS UNIVERSITY
gautam buddha university
Government Engineering College Ajmer
Government Engineering College Jagdalpur
"Haldia Institute of Technology, Haldia, west Bengal"
"Harcourt Butler Technological Institute, Kanpur"
Haryana Institute of Technology
"hbtu,kanpur"
I.E.R.T Allahabad
"IEC College of Engineering and Technology, Greater Noida"
"National Institute of Technology, Warangal"
galgotia college of engineering and technology
"Jaypee Institute of Information Technology, Noida"
"Banaras Hindu University, Varanasi"
"BBDNITM, Lucknow"
"ABES Engineering College, Ghaziabad"
Aks university satna m.p
"Amity School of Engineering and Technology,Gwalior"
Asansol engineering college
Bundelkhand Institute of Engineering and Technology
KAMLA NEHRU INSTITUTE OF TECHNOLOGY
"kanpur institute of technology,kanpur"
"Chandigarh University, Chandigarh"
"Faculty Of Commerce, Banaras Hindu University"
IIT BHU
IIT ROORKEE
NIT KURUKSHETRA
PIET
"poornima groups of institution, jaipur"
"Inderprastha Engineering College, Ghaziabad"
"Indian Institute of Engineering Science and Technology, Shibpur"
Oriental College Of Technology
"National Institute of Technology, Patna"
Uit Allahabd
"Shri Ramswaroop Memorial College of Engineering and Management, Lucknow"
University institute of technology Burdwan University
Shri Vaishnav Institute of Technology and Science
SLIET
"SRM University, Ramapuram Campus"
Svits
UIET CSJM UNIVERSITY KANPUR
"Punjab Engineering College University of Technology, Chandigarh"
Radharaman engineering college
"Sant Longowal Institute of Engineering and Technology, Longowal"
"School of management sciences, varanasi"
SHRI RAM MURTI SMARAK COLLEGE OF ENGINEERING AND TECHNOLOGY BAREILLY
Jaycee university of engineering and technology
